element,r,mass,electronegativity,specific_heat,vaporization,fusion,density_re,modulus_re,Tm_re,energy,formation,enthalpy,lambda,modulus_reo,Tm_reo,density_reo,CFS
Sc,0.745,44.956,1.36,567,318,16,2.985,57,1541,6.5615,-1820,-1670,1.1,218,2485,3.86,5.405
Y,0.9,88.906,1.22,298,380,11.4,4.472,41,1526,6.2173,-1903,-1810,1,185,2410,5.01,3.704
Lu,0.861,174.967,1.27,154,415,22,9.841,48,1663,5.4259,-2048,-1950,0.97,200,2490,9.42,4.047
Yb,0.868,173.045,1.1,154,160,7.7,6.57,31,818.9,6.254,-1900,-1800,0.95,170,2349,9.17,3.982
Tm,0.877,168.934,1.25,160,250,16.8,9.32,45,1545,6.1843,-2046,-1940,1,180,2418,8.6,3.901
Er,0.89,167.259,1.24,168,285,19.9,9.066,44,1497,6.1077,-1996,-1890,0.929,170,2344,8.64,3.787
Ho,0.901,164.93,1.23,165,265,17,8.795,40,1474,6.0215,-1990,-1885,1.04,170,2415,8.41,3.696
Dy,0.912,162.5,1.22,167,280,11.1,8.551,41,1412,5.9389,-1982,-1870,1.08,165,2340,8.6,3.607
Tb,0.923,158.925,1.2,182,295,10.8,8.219,38.7,1356,5.8638,-2008,-1895,0.99,165,2355,7.91,3.521
Gd,0.938,"	157.25",1.2,240,305,10,7.901,38,1313,6.1501,-1995,-1885,1.18,160,2420,7.41,3.41
Eu,0.947,151.964,1.2,182,175,9.2,5.244,8.3,821.9,5.6704,-1827,-1710,0.95,155,2350,5.29,3.345
Nd,0.983,144.242,1.14,190,285,7.1,7.01,32,1021,5.525,-1797,-1680,1.19,150,2233,7.24,3.105
Si,0.4,28.085,1.9,710,359,50.2,2.33,100,1414,8.1517,-910.9,-856,0.48,37,1713,2.65,25
