Model,Features,MSE_mean,MSE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,Folds
XGBoost,PCA,97.94458342007398,69.3725433093602,9.268807107900258,3.8784336749214305,0.474771701337713,0.22764980214050612,5
XGBoost,All,113.2330024429879,80.71898591922724,9.936691125256663,4.25663774654265,0.3467219343740934,0.4808410810792121,5
Random Forest,All,107.44219891307257,42.16363082601033,10.185279693925324,2.1512428005646616,0.34073307949204595,0.1930689006934252,5
Decision Tree,All,111.47756505329411,78.89376286330668,9.900241316117622,4.102253486794139,0.31813140912185345,0.4506205261802886,5
Gradient Boosting,All,121.36341631887449,86.76366928891619,10.410176415320109,4.029833017754497,0.23919807462212567,0.5765443213863589,5
Random Forest,PCA,124.00970604609847,50.37864204321424,10.93031101854569,2.3817029317163882,0.23833516915197114,0.2416642186276697,5
XGBoost (Baseline),All,129.31120427889303,103.5907404251209,10.509101102139317,4.856696189786224,0.23138472731475962,0.6734630907479777,5
Linear Regression,PCA,128.01870524636215,46.44066965497115,11.151641475175591,2.138807394176043,0.2121311918176234,0.179792611715315,5
Support Vector Regression,All,126.09503902041857,45.52765327730258,11.097722434089972,1.9155925311488795,0.2101074991334757,0.1705392986263873,5
Support Vector Regression,PCA,128.76453253331806,45.72207251502057,11.215308880501713,1.9304724966499371,0.19404107067570137,0.17644653340025787,5
Gradient Boosting,PCA,179.53416993066625,127.84646062816168,12.637965259894855,4.976947360124109,-0.10309685639989578,0.9096396391170091,5
Decision Tree,PCA,290.38593065235295,181.22070589703375,16.338376257122686,5.413339072726117,-0.7257442518278918,0.8554669070598869,5
Linear Regression,All,1029100401.6972492,2301103927.6975837,14410.964328212876,32043.41798303174,-9112320.714913694,20375627.953646686,5
